customer_city,order_count,revenue
santa rosa de viterbo,13,1975.27
pontes e lacerda,9,1972.9
itai,10,1972.66
conceicao de macabu,12,1970.24
carmo do rio claro,9,1969.5300000000002
morro agudo,9,1967.96
sao joaquim de bicas,8,1965.51
alto paraiso de goias,9,1963.35
cedral,9,1956.87
visconde do rio branco,18,1952.66
brejo santo,10,1949.35
faxinal dos guedes,11,1948.77
piraquara,14,1947.24
abaete,12,1946.81
mantena,11,1946.55
palmeira das missoes,16,1943.52
bocaiuva,13,1943.22
catende,7,1941.6799999999998
santana,13,1941.31
ourilandia do norte,5,1934.3500000000001
carmo do cajuru,10,1932.42
iturama,14,1931.51
bom jesus dos perdoes,17,1930.03
xaxim,10,1928.25
morro da fumaca,7,1921.45
santa fe de goias,4,1921.2700000000002
itajobi,10,1915.73
ronda alta,6,1914.31
chapadao do sul,14,1913.4099999999999
porto nacional,8,1911.38
passa quatro,9,1906.52
niquelandia,13,1902.01
sao joao do piaui,5,1891.88
miracema,17,1891.44
sao francisco do sul,16,1890.5
lagoa da prata,10,1884.08
lagoa vermelha,14,1883.04
itatiaia,18,1882.29
santa juliana,8,1880.37
quissama,11,1879.68
sao jose de ribamar,14,1870.87
taquari,11,1870.86
mariental,1,1867.85
montanha,10,1862.77
santa adelia,15,1861.06
coxim,11,1854.62
campos sales,4,1853.7799999999997
jardinopolis,13,1851.48
nova olinda,4,1849.72
bom conselho,7,1848.32
jacunda,6,1844.82
sidrolandia,11,1842.53
nova russas,7,1842.03
aperibe,12,1835.91
torres,17,1833.3200000000002
itatinga,4,1832.1
corrente,4,1831.15
caconde,10,1829.5700000000002
gameleira,4,1827.12
paraguacu,12,1826.29
teutonia,14,1826.22
ipojuca,15,1825.56
candido mota,16,1824.1000000000001
beberibe,3,1823.9099999999999
tambau,19,1823.49
pojuca,13,1820.78
sao francisco de itabapoana,15,1816.41
paraibuna,10,1810.75
guariba,14,1810.72
esplanada,5,1808.34
ipueiras,3,1805.78
quatro bocas,5,1804.79
pomerode,9,1797.55
senador canedo,16,1790.29
quirinopolis,14,1789.8
pirajui,12,1789.32
ampere,8,1788.04
minacu,11,1787.83
camamu,8,1782.6
vazante,6,1780.31
santo amaro de campos,6,1777.56
santa rita,7,1776.81
sao felix do xingu,8,1774.08
cruz,7,1772.56
santana do jacare,4,1769.22
afonso claudio,11,1767.92
ibate,12,1767.29
catu,10,1763.24
nova esperanca,8,1760.46
imbuia,4,1759.81
tapejara,11,1757.73
carmopolis de minas,5,1756.72
vitorino freire,3,1744.37
carmo,12,1742.8600000000001
guaramirim,13,1736.26
ibia,8,1736.17
sao simao,13,1734.25
santa helena de goias,9,1733.6799999999998
mangueirinha,8,1733.05
